"age","metallicity","velocity","Rgal","zgal","ecc"
1.73,0.14,10.488,7.97,-0.014,0.04
2.24,0.28,33.121,8.096,0.016,0.07
1.98,-0.16,37.135,8.033,0.006,0.1
2.01,0.29,38.523,7.994,-0.06,0.09
2.1,0.06,70.264,8.009,0.001,0.18
1.65,0.09,19.621,8.055,-0.141,0.02
3.45,0.02,25.788,7.925,-0.033,0.1
2.78,-0.01,31.417,7.994,0.053,0.09
2.94,0.04,10.677,7.998,-0.001,0.04
1.08,0.23,37.229,7.97,-0.046,0.08
2.3,0.14,55.335,8.083,-0.036,0.13
2.9,0.12,61.49,8.107,0.025,0.2
1.39,-0.25,26.42,8.034,-0.001,0.09
8.2,0.13,24.92,8.066,-0.024,0.09
1.59,0.04,49.699,7.996,0.054,0.12
11.57,-0.56,205.49,8.035,-0.027,0.54
8.98,-0.35,130.465,8.065,0.052,0.37
2.52,0.35,35.228,7.936,0.013,0.08
3.53,-0.03,15.033,7.96,0.009,0.06
0.89,0.02,32.171,8.017,0.05,0.06
2.68,-0.37,49.528,8.019,-0.05,0.13
2.54,-0.01,53.87,7.936,-0.035,0.14
12.37,-0.09,3.606,8.006,0.052,0.05
2.51,-0.23,129.572,8.079,-0.045,0.4
5.91,-0.31,61.408,8,-0.068,0.19
2.52,0.17,19.105,7.958,0.016,0.06
4.76,-0.05,87.017,8.019,-0.034,0.21
2.09,0.09,25.884,8.003,0.092,0.02
1.82,0.08,27.092,7.996,0.071,0.07
7.71,0.14,38.328,7.982,-0.011,0.1
2.44,0.11,36.401,7.989,0.052,0.14
2.23,0.13,24.042,8.054,0.035,0.05
6.25,-0.08,33.66,8.001,-0.052,0.1
1.13,-0.13,24.739,8.008,0.003,0.03
1.7,-0.02,29.034,7.933,-0.02,0.11
2.23,0.06,50.468,7.956,-0.023,0.12
2.2,-0.16,61.033,7.982,0.026,0.19
4.27,0,68.213,7.948,-0.006,0.18
2.4,-0.16,72.395,7.991,-0.019,0.22
1.52,-0.09,33.912,7.862,0.026,0.1
1.63,-0.21,46.84,7.925,-0.057,0.11
2.74,-0.16,33.586,8.036,-0.052,0.06
1.56,-0.17,13.928,8.008,0.027,0.05
5.08,0.14,66.596,8,-0.036,0.26
2.45,0.19,33.015,7.929,-0.053,0.08
3.47,0.03,59.489,7.998,0.057,0.18
1.4,0.18,35.805,8.024,0.058,0.09
6.64,0.03,38.613,7.997,-0.037,0.14
1.05,-0.04,37.802,7.951,0.079,0.11
8.65,0.1,87.407,7.988,0.006,0.29
1.51,0.19,39.825,8.062,0.131,0.08
5.33,0.12,71.456,7.921,-0.025,0.25
3.06,-0.28,38.601,7.9,0.028,0.12
1.42,-0.07,32.65,8.008,-0.033,0.07
1.37,0.22,71.056,7.919,0.068,0.21
7.15,-0.33,89.644,7.969,0.035,0.29
0.73,0.14,30.332,8.037,0.022,0.1
2.05,-0.01,27.221,8.083,-0.051,0.1
0.74,-0.05,19.131,7.957,-0.028,0.03
3.62,0.21,53.796,8.004,0.056,0.09
1.98,-0.01,36.387,8.054,-0.021,0.13
3.93,-0.2,98.311,8.043,-0.047,0.25
2.14,-0.27,55.408,8.031,-0.008,0.14
3.67,-0.52,38.341,7.941,-0.017,0.13
2.59,-0.19,23.345,7.99,0.039,0.09
1.9,0.06,40.915,8.081,-0.008,0.14
1.34,0.04,22.204,8.124,-0.095,0.09
2.4,0.07,42.237,8.054,-0.057,0.05
1.49,0.1,21.587,8.036,0.04,0.03
2.89,-0.36,15,8.017,0.073,0.02
4.71,0.11,51.078,8.048,-0.041,0.17
0.95,-0.12,16.673,7.983,-0.024,0.08
1.85,-0.01,35.749,8.082,0.051,0.11
1.48,-0.04,33.347,7.989,0.04,0.07
0.59,-0.15,7,8.001,-0.007,0.03
1.26,0.01,25.475,8.009,-0.008,0.04
4.17,0.14,41.049,8.033,0.068,0.14
2.02,0,52.593,7.973,0.079,0.12
4.69,-0.12,86.977,8.023,-0.012,0.26
3.97,0.02,48.384,8.012,0.027,0.18
3.09,-0.25,27.148,8.001,0.02,0.09
4.69,0.14,54.24,8.005,0.043,0.18
4.48,-0.31,82.904,7.983,0.031,0.21
2.53,0.1,47.718,8.01,0.031,0.14
4.57,-0.15,16.031,8.017,0.004,0.08
3.55,0.22,39.862,8.045,0.081,0.15
4.31,-0.17,64.14,8.015,-0.032,0.24
2.76,0.03,33.838,7.927,0.042,0.08
3.75,-0.06,28.302,7.955,0.065,0.1
2.6,-0.03,35.889,7.93,0.045,0.04
3.24,-0.09,62.266,8.016,-0.009,0.2
4.74,-0.35,67.305,8.002,-0.029,0.23
1.99,-0.01,35.482,7.987,0.06,0.04
1.96,-0.07,11.18,7.972,0.015,0.04
