"longseq","regne","repliement","isoelec","poidsmol","hydro","genre"
199,"Viridiplantae","-0.2720559","6.7100000","23537.0293","-1.6271358","Solanum"
177,"Viridiplantae","-0.2170091","9.1999998","19103.3691","-1.4451977","Cicer"
155,"Viridiplantae","-0.2388280","9.5500002","16743.4492","-1.4896774","Cicer"
159,"Viridiplantae","-0.1388376","7.0599999","16718.4297","-1.2088050","Codonopsis"
169,"Viridiplantae","-0.0767854","5.8299999","17530.4297","-1.0094675","Triticum"
101,"Viridiplantae","-0.2583781","8.1700001","10889.6504","-1.5514851","Vaccinium"
108,"Viridiplantae","-0.3267449","8.6700001","11757.4805","-1.8064815","Vaccinium"
112,"Viridiplantae","-0.0691211","5.3200002","11911.6396","-0.8883929","Oryza"
180,"Viridiplantae","-0.1946232","5.5900002","19586.9102","-1.2477778","Quercus"
112,"Viridiplantae","-0.2023751","9.9799995","12248.3203","-1.2901787","Quercus"
290,"Viridiplantae","-0.1474870","5.5999999","30926.4102","-1.1010345","Oryza"
202,"Viridiplantae","-0.1456531","8.5799999","21450.2695","-1.2351485","Prunus"
91,"Viridiplantae","-0.2107350","4.9499998","9905.1504","-1.3549451","Arachis"
130,"Viridiplantae","-0.2432664","9.9300003","13902.2998","-1.4423077","Vitis"
130,"Viridiplantae","-0.2408120","9.7299995","13919.3301","-1.4592308","Vitis"
73,"Viridiplantae","-0.2746190","4.6799998","8138.9600","-1.4465753","Capsicum"
145,"Viridiplantae","-0.1687471","7.0000000","15812.1602","-1.3034483","Gossypium"
165,"Viridiplantae","-0.1819466","5.7700000","17490.0605","-1.3096970","Gossypium"
264,"Viridiplantae","0.1347406","4.5700002","26915.7695","-0.2348485","Gossypium"
136,"Viridiplantae","-0.1557680","7.4400001","14616.0195","-1.2838235","Gossypium"
113,"Viridiplantae","-0.3641200","6.5300002","12536.2100","-1.8141593","Glycine"
314,"Viridiplantae","-0.2684610","6.7199998","34279.8203","-1.6171975","Vaccinium"
160,"Viridiplantae","-0.0573508","8.7500000","15972.7998","-0.9456250","Triticum"
255,"Viridiplantae","-0.1924594","6.5900002","27091.8496","-1.3517647","Pisum"
198,"Viridiplantae","-0.1843377","6.0000000","20849.2305","-1.2782828","Pisum"
232,"Viridiplantae","-0.1691923","6.4099998","24493.7793","-1.2715517","Pisum"
232,"Viridiplantae","-0.1663404","6.0700002","23950.8906","-1.2344828","Pisum"
111,"Viridiplantae","-0.1356718","9.7299995","11682.5703","-1.1315315","Craterostigma"
226,"Viridiplantae","-0.0962186","5.2700000","24473.0195","-1.0199115","Morus"
197,"Viridiplantae","-0.1490244","8.1700001","20577.4902","-1.2456853","Panax"
287,"Viridiplantae","-0.1374262","4.9099998","31316.4707","-1.1006969","Arabidopsis"
101,"Viridiplantae","-0.3241601","7.1300001","10776.1396","-1.7960396","Panax"
96,"Viridiplantae","-0.3218107","6.7800002","10166.3896","-1.7531250","Panax"
218,"Viridiplantae","-0.2587162","4.6300001","24510.1406","-1.3348624","Panax"
174,"Viridiplantae","-0.1352011","9.6899996","18156.2793","-1.1431034","Panax"
196,"Viridiplantae","-0.1469625","6.6999998","20389.1797","-1.2224489","Panax"
229,"Viridiplantae","-0.2144503","6.0500002","25933.2793","-1.4170306","Panax"
377,"Metazoa","-0.0430679","9.9099998","42393.0117","-0.8167109","Xenopus"
245,"Viridiplantae","-0.2682111","6.9699998","26920.2891","-1.6208163","Picea"
91,"Viridiplantae","-0.2194644","5.3699999","10114.4404","-1.3120879","Craterostigma"
88,"Viridiplantae","-0.1177185","4.4899998","8960.8799","-0.9772727","Physcomitrella"
110,"Viridiplantae","-0.1845729","5.2700000","11973.6504","-1.3181818","Gossypium"
200,"Viridiplantae","-0.0696899","6.5599999","20554.1602","-0.9895000","Oryza"
535,"Viridiplantae","-0.3112862","5.9699998","61524.1016","-1.5930841","Spinacia"
95,"Viridiplantae","-0.2204777","8.1700001","10340.7002","-1.4589474","Arachis"
195,"Viridiplantae","-0.1741243","5.8499999","20405.4902","-1.2271795","Cicer"
164,"Viridiplantae","-0.1116131","9.9399996","16563.6094","-1.0426829","Oryza"
164,"Viridiplantae","-0.1070269","9.7700005","16735.8691","-1.0475610","Oryza"
151,"Viridiplantae","-0.1646507","9.6700001","15554.0996","-1.2483444","Oryza"
158,"Viridiplantae","-0.0395905","9.9700003","16176.2695","-0.8265823","Arabidopsis"
98,"Viridiplantae","-0.1172781","6.2300000","11477.9297","-1.0275511","Atriplex"
223,"Viridiplantae","0.2005247","6.3800001","24163.6699","-0.1179372","Atriplex"
242,"Viridiplantae","-0.1602738","6.2600002","25372.4492","-1.2049587","Glycine"
126,"Viridiplantae","-0.0904440","9.9099998","13736.2998","-0.9444444","Arachis"
149,"Viridiplantae","-0.1970110","10.4600000","15768.5898","-1.2436242","Triticum"
221,"Viridiplantae","-0.1445212","9.3500004","22761.8301","-1.2036200","Zea"
130,"Viridiplantae","-0.2047834","6.0900002","13950.3203","-1.3676924","Solanum"
107,"Viridiplantae","0.1539261","4.0599999","11433.5195","-0.0112150","Arabidopsis"
280,"Viridiplantae","0.0200192","6.2800002","29562.9609","-0.7042857","Arabidopsis"
168,"Viridiplantae","-0.0807549","10.0500002","17086.3301","-0.9452381","Glycine"
167,"Viridiplantae","-0.0842927","9.8599997","17021.0898","-0.9754491","Glycine"
173,"Viridiplantae","-0.0961804","10.1099997","17608.9199","-0.9791908","Glycine"
168,"Viridiplantae","-0.0903333","10.0500002","17074.2793","-0.9761905","Glycine"
165,"Viridiplantae","-0.0806120","10.0100002","16828.9297","-0.9430303","Glycine"
170,"Viridiplantae","-0.0807856","10.0100002","17414.7402","-0.9464706","Glycine"
165,"Viridiplantae","-0.0759230","10.0100002","16798.9004","-0.9278788","Glycine"
168,"Viridiplantae","-0.0895398","9.8900003","17169.3809","-0.9928571","Glycine"
165,"Viridiplantae","-0.0921109","10.1400003","16923.0391","-0.9606061","Glycine"
161,"Viridiplantae","-0.0896365","10.1400003","16507.6191","-0.9496894","Glycine"
170,"Viridiplantae","-0.0911622","10.0100002","17356.5898","-0.9800000","Glycine"
168,"Viridiplantae","-0.0849921","10.0500002","17113.3809","-0.9589286","Glycine"
165,"Viridiplantae","-0.0926145","10.0100002","16806.8398","-0.9818182","Glycine"
391,"Viridiplantae","-0.1060751","7.1500001","38903.8906","-1.0984654","Triticum"
159,"Viridiplantae","-0.0347101","10.0100002","16145.2002","-0.8113208","Sisymbrium"
210,"Viridiplantae","-0.2952190","4.9499998","23802.3809","-1.5190476","Solanum"
